Date,High,Low,Average
20071106,62,52,
20071107,61,48,
20071108,59,53,
20071109,63,48,
20071110,66,48,
20071111,63,48,
20071112,68,44,
20071113,72,51,
20071114,75,55,
20071115,69,51,
20071116,63,55,
20071117,66,51,
20071118,64,53,
20071119,66,48,
20071120,63,46,
20071121,64,43,
20071122,64,37,
20071123,70,37,
20071124,60,37,
20071125,60,46,
20071126,63,42,
20071127,63,45,
20071128,64,46,
20071129,62,41,
20071130,55,42,
20071201,57,37,
20071202,61,45,
20071203,66,50,
20071204,61,54,
20071205,60,50,
20071206,57,48,
20071207,55,45,
20071208,53,42,
20071209,57,39,
20071210,57,39,
20071211,57,41,
20071212,55,35,
20071213,59,34,
20071214,55,34,
20071215,55,39,
20071216,55,43,
20071217,57,48,
20071218,57,43,
20071219,59,41,
20071220,55,43,
20071221,53,39,
20071222,53,32,
20071223,55,37,
20071224,57,45,
20071225,57,37,
20071226,53,43,
20071227,48,37,
20071228,48,43,
20071229,57,44,
20071230,52,43,
20071231,57,42,
